Order_ID,Order_Date,Customer_ID,Customer_Name,Region,State,Category,Sub_Category,Product,Quantity,Unit_Price,Discount_Pct,Sales,Cost,Profit,Payment_Mode,Order_Status,Ship_Date,Salesperson
ORD00285,2025-01-01,CUST0172,Amit Sharma,East,Odisha,Electronics,Electronics,Laptop Pro 14,5,83311,5,395727.25,308747.07,86980.18,Credit Card,Processing,2025-01-07,Yash
ORD00095,2025-01-01,CUST0108,Simran Kumar,West,Rajasthan,Furniture,Furniture,Bookshelf,2,11620,5,22078.0,19721.16,2356.84,Debit Card,Shipped,2025-01-02,Tarun
ORD00505,2025-01-01,CUST0148,Ravi Malhotra,East,Odisha,Electronics,Electronics,Smartphone X,5,23596,20,94384.0,92445.91,1938.09,Net Banking,Delivered,2025-01-08,Raj
ORD00220,2025-01-02,CUST0239,Sneha Singh,West,Rajasthan,Electronics,Electronics,Smartphone X,3,26876,10,72565.2,66837.44,5727.76,UPI,Shipped,2025-01-09,Kavita
ORD00201,2025-01-02,CUST0107,Amit Malhotra,East,West Bengal,Electronics,Electronics,LED TV 55,2,60274,5,114520.6,85966.93,28553.67,UPI,Delivered,2025-01-06,Pallavi
ORD00044,2025-01-03,CUST0126,Rohan Malhotra,West,Rajasthan,Furniture,Furniture,Bed Frame,2,25933,10,46679.4,37629.4,9050.0,UPI,Delivered,2025-01-04,Pallavi
ORD00973,2025-01-04,CUST0206,Simran Patel,West,Rajasthan,Appliances,Appliances,Washing Machine,4,32875,0,131500.0,104346.31,27153.69,Cash on Delivery,Delivered,2025-01-06,Sonia
ORD00295,2025-01-04,CUST0124,Vikram Yadav,North,Uttar Pradesh,Electronics,Electronics,Laptop Pro 14,3,84162,15,214613.1,206477.25,8135.85,UPI,Delivered,2025-01-10,Aman
ORD00048,2025-01-04,CUST0235,Simran Joshi,East,Bihar,Electronics,Electronics,LED TV 55,4,61123,10,220042.8,191028.48,29014.32,Credit Card,Processing,2025-01-11,Mohit
ORD00834,2025-01-05,CUST0246,Nisha Joshi,North,Delhi,Furniture,Furniture,Bed Frame,3,39811,10,107489.7,100902.9,6586.8,Debit Card,Cancelled,2025-01-12,Mohit
